feature,importance
original_language_ohe_fr,0.38821051191197875
original_language_ohe_de,0.33506904552057126
original_language_ohe_en,0.04989065056507638
original_language_ohe_zh,0.04297032333137844
original_language_ohe_hi,0.027290175535385135
original_language_ohe_ja,0.021518526658936114
original_language_ohe_ta,0.014968047640930722
original_language_ohe_id,0.013359185662461673
original_language_ohe_ko,0.010108923661866548
original_language_ohe_cs,0.0067464523141505936
original_language_ohe_fi,0.00589190022679619
original_language_ohe_kn,0.005799815668783965
original_language_ohe_nl,0.0052556476093289515
original_language_ohe_vi,0.00506717374853185
original_language_ohe_bn,0.004028482142976659
original_language_ohe_ru,0.0038884069695851024
original_language_ohe_pa,0.0038519956822282825
original_language_ohe_ms,0.0037680452044592167
original_language_ohe_te,0.003728526944221805
original_language_ohe_cn,0.0035652393319934987
original_language_ohe_ml,0.003136232845368915
original_language_ohe_tl,0.003063042208413873
original_language_ohe_bg,0.0028930988956657445
original_language_ohe_th,0.0025515214486253827
original_language_ohe_mr,0.002360378015308774
original_language_ohe_sr,0.0023066679788306455
original_language_ohe_tr,0.0017510975386041301
original_language_ohe_pl,0.001432294998492673
original_language_ohe_hr,0.001404628289815946
original_language_ohe_da,0.0013977040747290513
